"","ID","T1_PolParty","T1_Age","T1_Gender","T1_Ethnicity","T1_Education","T1c_BFI_2_XS_extravert1","T1c_BFI_2_XS_agreeable1","T1c_BFI_2_XS_conscientious1","T1c_BFI_2_XS_neurotic1","T1c_BFI_2_XS_open1","T1c_BFI_2_XS_extravert2","T1c_BFI_2_XS_agreeable2","T1c_BFI_2_XS_conscientious2","T1c_BFI_2_XS_neurotic2","T1c_BFI_2_XS_open2","T1c_BFI_2_XS_extravert3","T1c_BFI_2_XS_agreeable3","T1c_BFI_2_XS_conscientious3","T1c_BFI_2_XS_neurotic3","T1c_BFI_2_XS_open3","T2_ActPast_Prevent_Self","T2_ActPast_Prevent_Mask","T2_ActPast_Prevent_Sanitize","T2_ActPast_SocialDistance","T2_ActPast_SelfIsolate","T2_ActPresent_Prevent_Self","T2_ActPresent_Prevent_Mask","T2_ActPresent_Prevent_Sanitize","T2_ActPresent_SocialDistance","T2_ActPresent_SelfIsolate","T3_ActPast_Prevent_Self","T3_ActPast_Prevent_Mask","T3_ActPast_Prevent_Sanitize","T3_ActPast_SocialDistance","T3_ActPast_SelfIsolate","T3_ActPresent_Prevent_Self","T3_ActPresent_Prevent_Mask","T3_ActPresent_Prevent_Sanitize","T3_ActPresent_SocialDistance","T3_ActPresent_SelfIsolate","T4_ActPast_Prevent_Self","T4_ActPast_Prevent_Mask","T4_ActPast_Prevent_Sanitize","T4_ActPast_SocialDistance","T4_ActPast_SelfIsolate","T4_ActPresent_Prevent_Self","T4_ActPresent_Prevent_Mask","T4_ActPresent_Prevent_Sanitize","T4_ActPresent_SocialDistance","T4_ActPresent_SelfIsolate","T5_ActPast_Prevent_Self","T5_ActPast_Prevent_Mask","T5_ActPast_Prevent_Sanitize","T5_ActPast_SocialDistance","T5_ActPast_SelfIsolate","T5_ActPresent_Prevent_Self","T5_ActPresent_Prevent_Mask","T5_ActPresent_Prevent_Sanitize","T5_ActPresent_SocialDistance","T5_ActPresent_SelfIsolate","T6_ActPast_Prevent_Self","T6_ActPast_Prevent_Mask","T6_ActPast_Prevent_Sanitize","T6_ActPast_SocialDistance","T6_ActPast_SelfIsolate","T6_ActPresent_Prevent_Self","T6_ActPresent_Prevent_Mask","T6_ActPresent_Prevent_Sanitize","T6_ActPresent_SocialDistance","T6_ActPresent_SelfIsolate"
"629",629,2,34,2,1,6,3,4,0,4,3,2,0,0,0,0,4,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"630",630,1,29,1,1,6,4,4,0,0,4,3,1,1,1,1,2,3,4,3,2,3,2,3,3,3,2,1,2,2,2,2,2,3,1,3,2,3,2,2,2,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"631",631,3,58,2,2,6,1,3,1,1,3,3,2,1,0,0,4,3,4,3,4,4,0,4,4,2,4,0,4,4,3,2,0,2,2,3,2,2,2,2,0,3,0,2,2,0,3,0,2,1,0,3,0,2,2,0,3,0,2,2,0,3,1,1,2,0,3,1,1,2,0
"632",632,3,45,1,2,5,3,2,0,1,3,1,0,0,1,3,1,3,4,4,3,2,0,2,3,4,3,0,3,3,4,2,4,2,3,4,3,4,3,3,4,4,3,2,3,4,4,4,2,3,4,4,4,1,3,4,4,4,1,3,4,3,4,1,3,4,3,4,1,3,4
"633",633,2,30,1,1,6,4,3,1,2,3,2,4,1,2,3,4,2,3,3,2,2,1,3,3,2,3,1,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,3,3,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"634",634,2,29,1,1,6,3,4,0,0,4,2,1,1,1,0,3,0,4,3,4,4,3,3,4,3,3,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"635",635,2,38,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,4,4,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"636",636,3,41,2,2,6,0,4,0,2,4,2,0,0,0,0,4,2,4,2,2,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"637",637,2,58,2,1,6,3,4,0,0,0,0,0,0,0,4,3,2,4,4,3,4,0,3,4,4,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
"638",638,3,63,1,2,6,0,3,0,1,4,3,2,1,1,1,3,3,4,1,4,3,0,3,4,4,3,1,3,4,4,4,0,3,4,4,3,0,4,3,4,4,0,1,4,4,4,0,1,4,4,4,0,1,4,4,3,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639",639,2,23,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,3,4,3,4,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"640",640,2,38,1,1,7,1,4,3,3,4,1,2,3,3,0,3,3,3,3,4,4,4,1,3,3,3,3,3,4,4,4,2,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,3,3,4,4,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4
"641",641,1,48,2,2,5,3,1,2,1,3,1,0,2,2,1,3,2,1,2,3,2,0,0,3,3,4,0,1,4,3,2,3,3,3,4,3,4,3,3,3,4,3,2,4,4,4,3,2,4,3,3,4,2,3,4,3,4,3,4,4,3,3,2,2,3,3,4,2,3,3
"642",642,1,55,2,2,5,4,4,1,3,1,0,0,0,1,1,3,1,4,1,4,4,0,2,4,4,4,1,3,4,4,4,4,3,4,2,4,4,3,4,1,3,3,3,3,2,4,3,3,3,0,3,3,2,3,3,4,3,1,3,3,3,2,2,3,1,4,2,2,3,0
"643",643,2,22,1,2,5,3,2,1,1,1,1,2,2,3,3,2,1,1,1,3,1,1,1,1,1,1,2,2,2,2,1,2,3,2,3,3,3,2,3,3,1,1,3,2,3,3,2,2,1,1,2,2,1,1,1,2,1,1,2,1,3,1,1,2,3,2,1,2,3,3
"644",644,2,36,1,1,5,1,3,1,0,4,3,3,0,0,0,3,0,4,4,4,3,0,2,2,4,3,0,2,2,4,2,2,2,3,3,3,2,2,3,3,3,3,2,3,3,3,3,2,3,2,3,4,2,3,3,3,4,2,3,2,4,3,4,4,3,4,4,4,4,3
"645",645,3,44,1,5,7,3,4,1,3,3,3,1,3,2,2,1,3,3,3,3,3,2,2,3,3,3,2,2,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3,3,3,1,4,3,3,4,3,4,4,3,3,2,4,4,3,3,3,4,4,4,3,3
"646",646,3,54,2,2,5,4,1,0,1,2,3,1,0,0,2,1,1,4,4,2,4,0,0,4,0,4,0,0,4,0,3,0,0,4,0,4,2,0,4,0,1,0,0,4,0,0,2,0,4,0,2,3,0,4,0,3,4,0,4,0,3,4,0,4,0,3,4,0,4,0
"647",647,2,27,2,1,6,0,3,3,3,2,1,1,3,3,1,2,3,3,3,2,4,1,3,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"648",648,1,52,1,2,5,3,3,0,3,4,0,3,1,0,3,2,3,3,2,2,3,0,3,4,3,4,1,4,4,2,4,0,3,4,3,4,1,4,3,2,3,0,3,4,3,3,1,3,4,3,4,0,3,4,2,4,1,4,4,2,3,0,2,3,3,3,1,3,3,2
"649",649,3,49,2,1,6,3,3,0,2,0,0,3,2,2,0,0,1,4,2,2,2,0,0,2,2,2,1,0,2,2,2,0,1,3,0,3,1,2,1,0,2,2,2,2,0,2,2,2,2,0,3,3,3,3,0,3,3,3,3,0,2,2,2,2,0,2,2,2,2,0
"650",650,2,34,1,1,6,3,3,3,2,4,0,3,3,1,0,0,0,2,4,4,4,0,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,2,4,3,3,4,3,4,4,4,4,4,4,4,3,4,1,4,4,3,4,1,4,4
"651",651,3,26,2,1,5,4,4,3,3,0,4,1,3,3,4,3,1,3,1,3,3,0,3,3,3,4,2,4,4,4,3,3,2,2,3,4,4,3,3,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652",652,2,27,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653",653,3,34,2,2,5,3,2,1,3,1,2,2,1,2,3,2,1,3,2,1,3,0,0,2,2,2,0,0,3,2,2,1,0,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,0,2,2,1,1,0,1,2,0,1,1
