"","ID","T1_PolParty","T1_Age","T1_Gender","T1_Ethnicity","T1_Education","T1c_BFI_2_XS_extravert1","T1c_BFI_2_XS_agreeable1","T1c_BFI_2_XS_conscientious1","T1c_BFI_2_XS_neurotic1","T1c_BFI_2_XS_open1","T1c_BFI_2_XS_extravert2","T1c_BFI_2_XS_agreeable2","T1c_BFI_2_XS_conscientious2","T1c_BFI_2_XS_neurotic2","T1c_BFI_2_XS_open2","T1c_BFI_2_XS_extravert3","T1c_BFI_2_XS_agreeable3","T1c_BFI_2_XS_conscientious3","T1c_BFI_2_XS_neurotic3","T1c_BFI_2_XS_open3","T2_ActPast_Prevent_Self","T2_ActPast_Prevent_Mask","T2_ActPast_Prevent_Sanitize","T2_ActPast_SocialDistance","T2_ActPast_SelfIsolate","T2_ActPresent_Prevent_Self","T2_ActPresent_Prevent_Mask","T2_ActPresent_Prevent_Sanitize","T2_ActPresent_SocialDistance","T2_ActPresent_SelfIsolate","T3_ActPast_Prevent_Self","T3_ActPast_Prevent_Mask","T3_ActPast_Prevent_Sanitize","T3_ActPast_SocialDistance","T3_ActPast_SelfIsolate","T3_ActPresent_Prevent_Self","T3_ActPresent_Prevent_Mask","T3_ActPresent_Prevent_Sanitize","T3_ActPresent_SocialDistance","T3_ActPresent_SelfIsolate","T4_ActPast_Prevent_Self","T4_ActPast_Prevent_Mask","T4_ActPast_Prevent_Sanitize","T4_ActPast_SocialDistance","T4_ActPast_SelfIsolate","T4_ActPresent_Prevent_Self","T4_ActPresent_Prevent_Mask","T4_ActPresent_Prevent_Sanitize","T4_ActPresent_SocialDistance","T4_ActPresent_SelfIsolate","T5_ActPast_Prevent_Self","T5_ActPast_Prevent_Mask","T5_ActPast_Prevent_Sanitize","T5_ActPast_SocialDistance","T5_ActPast_SelfIsolate","T5_ActPresent_Prevent_Self","T5_ActPresent_Prevent_Mask","T5_ActPresent_Prevent_Sanitize","T5_ActPresent_SocialDistance","T5_ActPresent_SelfIsolate","T6_ActPast_Prevent_Self","T6_ActPast_Prevent_Mask","T6_ActPast_Prevent_Sanitize","T6_ActPast_SocialDistance","T6_ActPast_SelfIsolate","T6_ActPresent_Prevent_Self","T6_ActPresent_Prevent_Mask","T6_ActPresent_Prevent_Sanitize","T6_ActPresent_SocialDistance","T6_ActPresent_SelfIsolate"
"602",602,2,26,1,8,6,3,4,3,0,4,3,0,0,0,0,3,4,4,4,4,3,1,3,4,3,4,3,4,4,3,4,4,3,4,4,4,4,3,4,3,4,4,3,4,2,4,4,3,4,1,4,4,2,4,2,4,4,3,4,2,4,4,2,4,3,4,4,3,4,3
"603",603,2,66,2,1,5,1,4,0,1,3,3,0,0,1,0,4,4,4,4,3,4,2,4,4,4,4,2,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,2,4,4,4,4,2,4,4
"604",604,3,34,2,1,5,3,4,1,4,3,0,0,3,0,0,1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"605",605,3,33,1,2,4,4,1,3,3,3,2,3,3,3,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"606",606,3,33,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"607",607,1,53,2,2,5,4,4,0,3,4,0,0,1,2,0,3,3,4,2,4,3,0,4,4,3,4,1,4,3,3,4,0,3,4,2,4,0,3,3,2,4,0,3,4,2,4,1,4,4,2,4,0,3,4,1,4,1,4,3,0,4,3,4,4,2,4,4,4,4,2
"608",608,2,33,1,1,6,3,2,0,1,3,4,2,0,0,1,4,2,4,3,3,3,0,2,3,2,2,1,3,4,3,3,4,2,3,3,2,4,2,3,2,3,4,2,4,3,3,4,3,3,3,3,4,3,4,3,3,4,2,4,2,4,4,3,4,3,4,4,3,4,3
"609",609,2,27,2,2,7,0,4,2,4,4,4,4,2,3,4,1,1,0,0,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"610",610,2,23,1,1,5,4,3,0,3,2,1,0,0,0,1,2,3,4,4,2,4,0,1,2,3,4,0,3,3,4,4,2,3,3,4,4,3,3,4,4,4,4,3,3,4,4,4,3,4,3,4,4,2,3,4,4,4,3,3,4,4,3,1,3,2,4,4,2,4,2
"611",611,3,37,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"612",612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,3,3,1,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"613",613,1,32,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"614",614,2,25,1,2,4,4,3,1,1,3,0,1,3,3,1,0,0,3,1,1,3,0,0,3,4,4,0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,3,3,4,1,0,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"615",615,3,31,2,2,5,4,4,1,4,4,0,3,2,2,0,3,4,1,3,3,4,1,3,4,4,4,1,3,3,4,3,2,4,4,4,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,3,4,4,4,4,3
"616",616,1,27,1,1,6,3,3,1,1,3,3,1,1,3,3,3,3,3,1,3,3,3,3,2,3,3,3,3,3,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,1,1,4,4,2,4,1,4,4,4,4,4,4,3,4,3,4,3,3,3,4,3
"617",617,2,41,2,1,6,1,4,3,3,3,3,0,3,1,0,3,2,4,4,4,4,3,3,4,2,3,3,4,4,3,4,4,4,4,3,4,4,4,4,2,4,4,4,4,2,4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"618",618,2,38,2,5,6,3,3,0,3,3,0,0,0,0,0,2,2,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,0,3,4,2,4,2,4,4,2,4,2,4,4,2,4,2,4,4,2,4,3,4,4,2,4,3,4,4,2,4,3,4,4,2,4,3
"619",619,2,30,1,2,6,3,2,0,3,0,1,3,1,2,3,1,0,2,2,2,2,0,2,2,2,2,0,1,3,2,1,1,1,2,2,2,2,1,3,2,2,3,1,3,2,3,3,1,3,2,3,3,1,2,2,3,3,3,3,3,3,3,1,3,3,4,4,1,4,3
"620",620,3,36,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"621",621,1,36,2,2,6,2,3,3,3,1,2,3,2,3,2,4,3,2,3,3,3,4,4,4,3,4,4,4,3,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,3,1,2,2,2,1,2,2,3,2,1,3,3,3,2,2,3,3,3,3,3
"622",622,1,42,1,2,6,1,1,1,3,3,2,3,1,3,1,2,1,3,3,4,3,0,2,4,3,4,0,3,3,2,3,1,2,4,3,4,3,2,4,3,3,1,3,3,3,4,4,4,4,3,4,2,2,4,2,4,3,4,4,2,4,4,3,4,3,4,4,4,4,3
"623",623,2,29,2,1,6,4,4,3,1,4,4,1,1,3,3,4,4,4,4,3,2,1,3,4,3,3,0,4,3,3,4,3,4,4,4,4,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"624",624,3,55,2,1,6,1,3,1,2,3,3,0,0,0,1,3,3,4,3,3,4,0,3,4,3,4,0,3,4,3,4,3,3,3,0,4,4,3,4,0,4,4,2,4,0,4,3,2,3,1,4,4,2,4,2,4,4,2,4,2,4,4,2,4,2,4,4,2,4,2
"625",625,3,31,1,5,6,3,3,1,3,4,1,3,3,3,2,1,3,3,3,3,4,3,4,3,3,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,3
"626",626,3,39,1,1,5,4,4,1,1,3,1,0,1,1,0,3,3,3,4,3,4,1,3,3,4,4,3,3,3,3,3,3,2,3,3,4,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"627",627,2,45,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"628",628,2,33,2,4,6,3,3,4,4,1,2,1,3,3,4,1,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,4,3,3,4,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,2,4,4,4,4,1
